step,avg_rho,avg_links_len,avg_prepositional_chain_len,avg_subordinate_chain_len,avg_token_per_clause,avg_verb_edges,char_per_tok,dep_dist_acl,dep_dist_acl:relcl,dep_dist_advcl,dep_dist_advmod,dep_dist_amod,dep_dist_case,dep_dist_conj,dep_dist_cop,dep_dist_flat:name,dep_dist_mark,dep_dist_nmod,dep_dist_nsubj,dep_dist_nummod,dep_dist_obj,dep_dist_obl,lexical_density,max_links_len,n_prepositional_chains,n_tokens,obj_post,principal_proposition_dist,subj_post,subj_pre,subordinate_post,subordinate_proposition_dist,upos_dist_ADJ,upos_dist_ADP,upos_dist_ADV,upos_dist_CCONJ,upos_dist_DET,upos_dist_NOUN,upos_dist_NUM,upos_dist_PRON,upos_dist_PROPN,upos_dist_PUNCT,upos_dist_SCONJ,upos_dist_VERB,verb_edges_dist_1,verb_edges_dist_2,verb_edges_dist_3,verb_edges_dist_4,verbs_mood+tense_dist_Ind_PassPross,verbs_mood+tense_dist_Ind_Pres,verbs_mood+tense_dist_Inf_Pres,verbs_mood+tense_dist_Part_Past,verbs_mood_dist_Ind,verbs_mood_dist_Inf,verbs_mood_dist_Part,verbs_num_pers_dist_Plur+3,verbs_num_pers_dist_Sing+3,verbs_tense_dist_PassPross,verbs_tense_dist_Past,verbs_tense_dist_Pres,verbs_voice_dist_Active,verbs_voice_dist_Passive,xpos_dist_FB,xpos_dist_FF,xpos_dist_VA
25000,0.6084,0.8175,0.7434,0.771,0.6958,0.5864,0.6278,0.3708,0.5518,0.4959,0.6162,0.5527,0.8206,0.6579,0.4368,0.4189,0.5988,0.7321,0.625,0.5454,0.6139,0.5771,0.663,0.8434,0.7954,0.952,0.6355,0.6706,0.436,0.5851,0.6567,0.7713,0.5164,0.8547,0.6258,0.6838,0.8191,0.675,0.6548,0.6316,0.6246,0.8363,0.5274,0.6948,0.3179,0.378,0.2857,0.3692,0.5063,0.5061,0.6144,0.389,0.6323,0.6319,0.4043,0.6858,0.7029,0.5052,0.3983,0.5396,0.4888,0.4653,0.6097,0.8482,0.6482
50000,0.6436,0.8232,0.759,0.7995,0.7361,0.6051,0.6811,0.411,0.533,0.5216,0.659,0.6033,0.8655,0.6842,0.4485,0.4778,0.6656,0.7625,0.6761,0.5494,0.6478,0.6022,0.6799,0.834,0.8118,0.9433,0.6697,0.7196,0.4698,0.6432,0.6952,0.8004,0.5541,0.8797,0.651,0.6894,0.8418,0.7296,0.6734,0.6588,0.7116,0.8296,0.5448,0.7595,0.3427,0.3998,0.2787,0.3657,0.5656,0.5794,0.7232,0.4109,0.7049,0.7349,0.4251,0.7204,0.7574,0.5695,0.4094,0.6129,0.5737,0.5398,0.6072,0.8397,0.726
75000,0.6549,0.8282,0.7735,0.7995,0.7465,0.6287,0.6914,0.4282,0.5556,0.5252,0.6632,0.634,0.8665,0.703,0.4655,0.5009,0.6832,0.7723,0.6803,0.5755,0.6737,0.6337,0.6948,0.8389,0.8206,0.9421,0.6807,0.7217,0.4735,0.657,0.6857,0.8022,0.5965,0.8717,0.66,0.6794,0.8343,0.7598,0.6796,0.6746,0.7338,0.8415,0.5423,0.7931,0.3439,0.3745,0.3149,0.3718,0.5724,0.5993,0.7399,0.4179,0.7232,0.753,0.4359,0.7338,0.7682,0.5786,0.4183,0.6281,0.589,0.5569,0.6066,0.8357,0.7393
100000,0.6669,0.8324,0.7679,0.8075,0.7422,0.6394,0.7141,0.4275,0.5733,0.5377,0.6824,0.6506,0.8783,0.7082,0.4845,0.5106,0.6871,0.772,0.699,0.5811,0.6868,0.6333,0.7202,0.8302,0.8173,0.9391,0.6944,0.7382,0.5058,0.6694,0.7015,0.811,0.6153,0.8816,0.6733,0.6963,0.8439,0.7799,0.6896,0.6919,0.7569,0.8607,0.5607,0.7933,0.3606,0.3647,0.2898,0.368,0.5943,0.6623,0.7437,0.4318,0.7399,0.7565,0.4473,0.7413,0.7855,0.6013,0.4366,0.6717,0.6242,0.5781,0.6081,0.8389,0.7505
125000,0.6715,0.8356,0.7694,0.8102,0.7485,0.6496,0.7159,0.4496,0.5717,0.5396,0.6818,0.6693,0.8791,0.7319,0.5016,0.5137,0.6935,0.7804,0.7112,0.5781,0.698,0.6428,0.7152,0.8346,0.8165,0.9444,0.716,0.7491,0.5065,0.6638,0.7033,0.8118,0.6369,0.8816,0.6786,0.6967,0.8484,0.7803,0.6865,0.6882,0.7632,0.8567,0.564,0.7994,0.3507,0.3742,0.2877,0.3637,0.6015,0.69,0.7439,0.4367,0.7413,0.7532,0.4489,0.7516,0.7881,0.6081,0.4398,0.7003,0.6301,0.5748,0.594,0.8334,0.7539
150000,0.677,0.8355,0.7785,0.8092,0.7482,0.6459,0.7319,0.4453,0.5635,0.5236,0.686,0.6736,0.878,0.7357,0.5023,0.5176,0.6875,0.7817,0.7158,0.586,0.7047,0.641,0.7208,0.8329,0.8193,0.9374,0.7154,0.7482,0.524,0.6801,0.7042,0.8106,0.6587,0.8781,0.6768,0.7152,0.8596,0.7958,0.6868,0.6851,0.7738,0.8676,0.5658,0.8032,0.3761,0.3734,0.3092,0.3618,0.6078,0.7137,0.7482,0.4424,0.7661,0.7614,0.4608,0.7588,0.7926,0.6127,0.4392,0.7138,0.634,0.586,0.6098,0.8424,0.7656
175000,0.6759,0.8401,0.7795,0.8004,0.7465,0.644,0.7411,0.4345,0.5677,0.5393,0.6764,0.6767,0.8736,0.7418,0.5025,0.5116,0.682,0.7826,0.717,0.5754,0.6974,0.6408,0.729,0.8353,0.8262,0.9416,0.7143,0.7544,0.5155,0.6912,0.6941,0.8068,0.6679,0.8745,0.6815,0.7166,0.8607,0.7994,0.674,0.6904,0.7719,0.8569,0.571,0.798,0.3518,0.3721,0.3001,0.3666,0.6006,0.7183,0.7416,0.4333,0.7582,0.7553,0.4512,0.7589,0.8043,0.6057,0.4295,0.7204,0.6396,0.5919,0.607,0.8392,0.7726
200000,0.6764,0.8383,0.7727,0.8033,0.7503,0.6368,0.7481,0.4322,0.567,0.533,0.6876,0.6936,0.8767,0.7336,0.505,0.5195,0.6838,0.7753,0.7033,0.5794,0.6985,0.6429,0.7298,0.8376,0.8285,0.9403,0.724,0.764,0.5162,0.6895,0.6937,0.8105,0.6737,0.8754,0.6928,0.7144,0.8604,0.8019,0.6658,0.6878,0.774,0.8496,0.5619,0.8045,0.34,0.3566,0.2991,0.3613,0.6078,0.7357,0.7481,0.4323,0.7683,0.7609,0.4474,0.759,0.7945,0.6139,0.429,0.7289,0.6454,0.5988,0.5959,0.8332,0.756
225000,0.6765,0.8346,0.7781,0.7991,0.7522,0.6393,0.7371,0.4234,0.5744,0.5442,0.6793,0.6895,0.8751,0.7428,0.4987,0.5281,0.6923,0.7767,0.719,0.582,0.6976,0.6568,0.7314,0.8316,0.8212,0.9398,0.7191,0.7651,0.5189,0.6973,0.6981,0.8064,0.6775,0.8703,0.6865,0.7252,0.8592,0.7988,0.6741,0.6923,0.7767,0.8477,0.564,0.8052,0.3439,0.358,0.2913,0.3674,0.6101,0.7216,0.7496,0.4248,0.7651,0.7602,0.4392,0.7627,0.7962,0.6155,0.4257,0.7258,0.6463,0.5887,0.5978,0.8189,0.7611
250000,0.678,0.8374,0.7734,0.8041,0.758,0.6379,0.7385,0.4354,0.5689,0.5361,0.6861,0.6889,0.8755,0.7419,0.5083,0.5348,0.6894,0.7816,0.7156,0.5645,0.6995,0.654,0.7306,0.8348,0.8235,0.9383,0.7217,0.7661,0.5287,0.6863,0.7001,0.8093,0.676,0.8736,0.68,0.7178,0.8648,0.804,0.6682,0.6904,0.7765,0.8483,0.5592,0.8005,0.3542,0.3711,0.2935,0.3623,0.6132,0.7331,0.7517,0.4306,0.7634,0.7636,0.4477,0.7648,0.802,0.6189,0.4292,0.7378,0.6401,0.5871,0.5984,0.833,0.7664
275000,0.6786,0.839,0.7796,0.8037,0.7581,0.6368,0.7465,0.4404,0.5751,0.5396,0.6733,0.6852,0.8772,0.7405,0.513,0.5369,0.6879,0.7796,0.7269,0.5651,0.704,0.6576,0.7228,0.8349,0.8234,0.9394,0.7185,0.76,0.54,0.7067,0.7012,0.8127,0.6677,0.8752,0.6713,0.7107,0.8545,0.8068,0.6587,0.6936,0.7786,0.857,0.5667,0.809,0.3574,0.345,0.3197,0.3687,0.611,0.7279,0.7517,0.4348,0.7606,0.765,0.4527,0.7682,0.7977,0.6165,0.4352,0.7349,0.6457,0.5868,0.594,0.8194,0.7636
300000,0.6808,0.8442,0.7802,0.8043,0.7534,0.6415,0.7449,0.4391,0.5721,0.5382,0.6745,0.6768,0.8795,0.7507,0.5117,0.5388,0.6979,0.7788,0.7113,0.5679,0.7148,0.6551,0.7163,0.8425,0.8216,0.9427,0.7305,0.7695,0.5599,0.7169,0.7032,0.8091,0.659,0.882,0.6683,0.7162,0.8536,0.8082,0.6638,0.686,0.7769,0.848,0.5685,0.8093,0.3501,0.3719,0.3229,0.3713,0.6185,0.732,0.7496,0.4369,0.7651,0.765,0.4518,0.7681,0.7966,0.6229,0.4319,0.7384,0.658,0.5989,0.5998,0.8303,0.7632
325000,0.6813,0.8409,0.7763,0.8079,0.7558,0.6466,0.7532,0.4279,0.5665,0.541,0.6786,0.6892,0.8766,0.7476,0.5018,0.5378,0.6979,0.785,0.7132,0.5729,0.7046,0.665,0.7161,0.8418,0.8246,0.9394,0.7243,0.757,0.5575,0.7106,0.7076,0.8082,0.6695,0.8778,0.678,0.7184,0.8474,0.8162,0.6749,0.6905,0.7875,0.8519,0.5613,0.815,0.3407,0.3863,0.3221,0.3627,0.6165,0.7271,0.7542,0.442,0.7639,0.7675,0.4581,0.7648,0.8039,0.6202,0.435,0.7339,0.6518,0.5985,0.6064,0.8351,0.7526
350000,0.681,0.8358,0.7769,0.8094,0.7631,0.6453,0.7424,0.4301,0.5804,0.5342,0.6787,0.684,0.8792,0.7471,0.508,0.526,0.695,0.7816,0.7141,0.5728,0.7028,0.6627,0.7152,0.8387,0.8226,0.9411,0.7239,0.768,0.5684,0.7211,0.7028,0.8118,0.6683,0.8769,0.6753,0.7181,0.8506,0.8058,0.6627,0.6984,0.7777,0.8435,0.5588,0.8137,0.3349,0.3826,0.3329,0.3653,0.6218,0.7341,0.7535,0.4418,0.7619,0.7672,0.4561,0.7623,0.8012,0.6249,0.4347,0.7395,0.6501,0.59,0.6085,0.8191,0.7662
375000,0.6823,0.8419,0.7775,0.8035,0.7574,0.6414,0.7443,0.4279,0.5816,0.5272,0.6795,0.6968,0.8833,0.7494,0.505,0.5383,0.6888,0.7849,0.7205,0.5637,0.703,0.6618,0.7174,0.8308,0.8152,0.9348,0.7234,0.7734,0.5529,0.7169,0.6971,0.8057,0.6711,0.8834,0.6762,0.7283,0.8526,0.8137,0.6631,0.7039,0.7847,0.84,0.5608,0.8156,0.329,0.3785,0.3554,0.3654,0.6247,0.7538,0.753,0.4405,0.7669,0.7675,0.4566,0.7654,0.804,0.6273,0.4455,0.7538,0.6549,0.5913,0.6017,0.8258,0.7645
400000,0.6807,0.835,0.7802,0.8083,0.7587,0.6364,0.742,0.4365,0.5807,0.5397,0.6788,0.6904,0.8737,0.7518,0.4981,0.5259,0.7044,0.7773,0.7084,0.5669,0.6969,0.6605,0.7104,0.8365,0.8249,0.9392,0.7252,0.7639,0.5681,0.7078,0.7066,0.813,0.6664,0.8733,0.6742,0.7156,0.8514,0.8115,0.6583,0.6942,0.7857,0.8265,0.5672,0.8246,0.3262,0.3857,0.3633,0.3606,0.6212,0.7432,0.7511,0.4408,0.7621,0.7643,0.455,0.7609,0.7937,0.6237,0.4453,0.75,0.6526,0.6001,0.5969,0.8204,0.7553
425000,0.6814,0.8445,0.7825,0.8054,0.756,0.6372,0.7453,0.435,0.5724,0.5373,0.6768,0.701,0.8747,0.7547,0.5081,0.5362,0.7044,0.7838,0.7115,0.5796,0.7068,0.6663,0.711,0.8394,0.8287,0.9426,0.7368,0.7548,0.5614,0.7117,0.699,0.8104,0.6773,0.8762,0.6678,0.7196,0.8505,0.8171,0.6571,0.6966,0.7852,0.8359,0.5641,0.8182,0.3318,0.3738,0.3453,0.3546,0.6257,0.7432,0.7527,0.4443,0.756,0.7654,0.4586,0.76,0.7867,0.6285,0.4436,0.7456,0.6445,0.5927,0.6029,0.8231,0.7519
450000,0.6787,0.8387,0.7787,0.7999,0.7599,0.6445,0.7454,0.4398,0.5712,0.5371,0.6664,0.6962,0.8695,0.7539,0.5212,0.5403,0.6935,0.784,0.7112,0.5738,0.6924,0.6589,0.704,0.8358,0.8221,0.9425,0.7244,0.7624,0.5606,0.7148,0.6949,0.8083,0.6768,0.873,0.6603,0.722,0.8434,0.8087,0.6563,0.6838,0.7789,0.8311,0.555,0.8167,0.3325,0.3889,0.3603,0.351,0.6276,0.7425,0.7526,0.4278,0.763,0.7664,0.4413,0.763,0.7969,0.63,0.426,0.7384,0.6343,0.5759,0.5933,0.823,0.7527
475000,0.6798,0.846,0.7842,0.7999,0.7597,0.6456,0.7465,0.4199,0.5649,0.54,0.673,0.6938,0.8771,0.7498,0.5168,0.5424,0.6902,0.7873,0.7145,0.5693,0.7048,0.6593,0.7073,0.8461,0.8267,0.947,0.7277,0.7609,0.5704,0.7219,0.689,0.8034,0.6637,0.8768,0.6632,0.7245,0.8468,0.809,0.6608,0.6898,0.7744,0.8315,0.562,0.8179,0.3271,0.3812,0.3328,0.3692,0.6295,0.7477,0.752,0.4255,0.7665,0.7654,0.442,0.7634,0.8042,0.6307,0.4298,0.7413,0.6458,0.5864,0.5901,0.8213,0.7486
500000,0.6798,0.8465,0.7812,0.7983,0.7559,0.643,0.7361,0.4417,0.5856,0.5459,0.6614,0.6874,0.8737,0.7447,0.5255,0.536,0.6894,0.7794,0.7366,0.5686,0.7051,0.656,0.7109,0.8438,0.8239,0.9458,0.7326,0.7507,0.5603,0.7107,0.6962,0.8094,0.6543,0.8715,0.6544,0.7028,0.8482,0.8122,0.6517,0.6907,0.7741,0.8265,0.5617,0.8205,0.3367,0.3769,0.3476,0.3603,0.6304,0.7471,0.7522,0.4398,0.7661,0.7664,0.4519,0.7665,0.7993,0.6326,0.4429,0.7443,0.6451,0.5852,0.5931,0.8115,0.7634
525000,0.6776,0.8505,0.7781,0.7996,0.7574,0.636,0.7312,0.4251,0.5724,0.5351,0.6618,0.6962,0.8737,0.7518,0.5235,0.5384,0.6841,0.7769,0.7336,0.5709,0.7,0.6508,0.6943,0.8499,0.8216,0.9455,0.7244,0.7508,0.5721,0.7188,0.6911,0.8095,0.6628,0.8748,0.6525,0.7157,0.84,0.8102,0.6457,0.6886,0.7733,0.8118,0.561,0.8132,0.3383,0.3606,0.3293,0.3533,0.6314,0.7547,0.7543,0.4292,0.7591,0.7682,0.4438,0.7606,0.8039,0.6359,0.4289,0.7508,0.6428,0.583,0.5977,0.8088,0.7574
550000,0.6786,0.8467,0.7732,0.7979,0.7557,0.6446,0.7311,0.4206,0.5683,0.5403,0.6628,0.6916,0.87,0.7557,0.5206,0.5395,0.6948,0.7772,0.7258,0.5586,0.7013,0.6595,0.7009,0.8456,0.8223,0.9487,0.7329,0.7585,0.5822,0.7164,0.6884,0.8049,0.6603,0.8734,0.6513,0.7214,0.8464,0.8152,0.6368,0.6867,0.7806,0.8237,0.5703,0.8134,0.3193,0.37,0.344,0.3671,0.6315,0.761,0.7486,0.4262,0.7546,0.7638,0.4401,0.7614,0.8041,0.6356,0.4331,0.7532,0.6506,0.5838,0.5929,0.8222,0.7504
575000,0.68,0.847,0.7689,0.7977,0.7608,0.6479,0.7373,0.4328,0.589,0.5405,0.6527,0.6926,0.8733,0.7405,0.5184,0.5349,0.6936,0.7727,0.7226,0.561,0.7081,0.6642,0.7039,0.854,0.8216,0.9505,0.7402,0.751,0.5784,0.7133,0.6944,0.8054,0.6643,0.8709,0.6457,0.7062,0.8443,0.8048,0.6499,0.6922,0.7797,0.8248,0.5665,0.8185,0.3414,0.3906,0.3486,0.3694,0.6338,0.7566,0.7529,0.4342,0.7578,0.7666,0.4485,0.7617,0.7945,0.6402,0.4372,0.7507,0.649,0.5927,0.5954,0.8161,0.7474
600000,0.679,0.8503,0.7695,0.8058,0.7564,0.6486,0.723,0.4261,0.5926,0.549,0.6652,0.6912,0.866,0.7485,0.515,0.5327,0.6975,0.7725,0.7197,0.5705,0.7089,0.6558,0.7076,0.8478,0.8201,0.9463,0.7371,0.7633,0.5792,0.7156,0.7009,0.8139,0.6588,0.8648,0.6515,0.7131,0.8432,0.8097,0.6496,0.6835,0.7766,0.8245,0.5682,0.8197,0.3171,0.3996,0.3373,0.3567,0.6315,0.756,0.7553,0.4272,0.7598,0.769,0.4406,0.7616,0.7979,0.6357,0.4249,0.7459,0.6439,0.5773,0.5971,0.8176,0.7449
624000,0.6806,0.8474,0.7745,0.8077,0.7607,0.6497,0.732,0.4437,0.5806,0.5533,0.6731,0.6991,0.8676,0.7439,0.5226,0.5347,0.7111,0.7753,0.7211,0.5678,0.7049,0.6446,0.7081,0.8402,0.8245,0.9446,0.7333,0.7626,0.5718,0.7137,0.7035,0.8134,0.667,0.8645,0.6565,0.7136,0.8471,0.8145,0.646,0.7001,0.7829,0.8224,0.5739,0.8179,0.3328,0.3755,0.3241,0.3614,0.6301,0.75,0.757,0.4399,0.7596,0.7706,0.448,0.7556,0.7908,0.6371,0.442,0.7496,0.6473,0.5828,0.5992,0.8155,0.7541
